request_id,user_id,timestamp,priority
REQ000001,USER004065,59686,7
REQ000002,USER000199,43412,5
REQ000003,USER002150,82176,7
REQ000004,USER003204,12951,3
REQ000005,USER002033,32811,10
REQ000006,USER002169,10279,9
REQ000007,USER000663,77218,9
REQ000008,USER001661,7157,1
REQ000009,USER003251,16170,3
REQ000010,USER000467,17266,1
REQ000011,USER002265,70993,4
REQ000012,USER002508,13595,8
REQ000013,USER002517,86059,8
REQ000014,USER002566,2883,3
REQ000015,USER002379,14810,3
REQ000016,USER000392,38384,2
REQ000017,USER004034,49498,7
REQ000018,USER002979,55878,5
REQ000019,USER002081,49417,9
REQ000020,USER003050,80560,4
REQ000021,USER002457,29848,1
REQ000022,USER004714,14577,1
REQ000023,USER000630,14446,5
REQ000024,USER004607,17772,2
REQ000025,USER001374,26051,9
REQ000026,USER001971,32016,5
REQ000027,USER003555,33728,1
REQ000028,USER004900,13911,1
REQ000029,USER002440,62961,6
REQ000030,USER003546,36783,9
REQ000031,USER004374,82127,1
REQ000032,USER000705,20474,4
REQ000033,USER000643,21597,1
REQ000034,USER003091,50814,1
REQ000035,USER001606,34014,7
REQ000036,USER002595,50820,9
REQ000037,USER004608,24311,9
REQ000038,USER001337,46269,6
REQ000039,USER000425,64271,9
REQ000040,USER003763,11385,1
REQ000041,USER000692,65545,7
REQ000042,USER003568,84345,7
REQ000043,USER001614,14772,10
REQ000044,USER000703,64606,5
REQ000045,USER002305,51232,5
REQ000046,USER000578,65060,6
REQ000047,USER004789,22735,4
REQ000048,USER002105,20467,7
REQ000049,USER000635,53031,8
REQ000050,USER001882,74700,8
REQ000051,USER002704,56005,2
REQ000052,USER001950,60024,2
REQ000053,USER000939,58581,9
REQ000054,USER000118,85969,6
REQ000055,USER000795,18760,8
REQ000056,USER000219,82731,10
REQ000057,USER003021,10886,6
REQ000058,USER000235,79885,2
REQ000059,USER002388,50365,6
REQ000060,USER004695,8559,6
REQ000061,USER001365,76610,5
REQ000062,USER004418,52492,1
REQ000063,USER004152,40890,6
REQ000064,USER004346,49746,6
REQ000065,USER003739,46063,6
REQ000066,USER000098,40602,3
REQ000067,USER001071,73291,8
REQ000068,USER003742,25571,4
REQ000069,USER004201,8240,5
REQ000070,USER003775,7255,4
REQ000071,USER001951,18642,7
REQ000072,USER001695,14119,10
REQ000073,USER002167,73680,7
REQ000074,USER001045,15538,9
REQ000075,USER003489,48436,5
REQ000076,USER000888,7445,4
REQ000077,USER002562,33332,3
REQ000078,USER004210,546,10
REQ000079,USER001659,18318,3
REQ000080,USER004925,7413,9
REQ000081,USER000698,46507,7
REQ000082,USER002442,55641,4
REQ000083,USER001934,38236,6
REQ000084,USER000776,78901,9
REQ000085,USER000077,70880,6
REQ000086,USER003434,85804,8
REQ000087,USER001151,40288,10
REQ000088,USER002131,15263,8
REQ000089,USER001550,1796,1
REQ000090,USER004239,36927,2
REQ000091,USER002508,30583,7
REQ000092,USER004598,44617,8
REQ000093,USER003945,27061,5
REQ000094,USER002759,60994,9
REQ000095,USER004739,63509,2
REQ000096,USER001242,23240,4
REQ000097,USER002051,80085,10
REQ000098,USER003101,59365,7
REQ000099,USER002139,65801,2
REQ000100,USER004445,28210,6
REQ000101,USER003996,41533,3
REQ000102,USER000917,8636,10
REQ000103,USER001927,81743,8
REQ000104,USER003709,23544,5
REQ000105,USER004790,24628,10
REQ000106,USER002195,18261,7
REQ000107,USER004636,82081,7
REQ000108,USER004730,27703,7
REQ000109,USER003675,63545,4
REQ000110,USER001640,5545,7
REQ000111,USER001096,24506,1
REQ000112,USER000847,36015,9
REQ000113,USER001414,56751,7
REQ000114,USER000840,63137,1
REQ000115,USER001800,39023,1
REQ000116,USER001295,45487,5
REQ000117,USER001884,59554,8
REQ000118,USER001714,66287,9
REQ000119,USER004705,77205,2
REQ000120,USER000824,1111,3
REQ000121,USER002749,83163,9
REQ000122,USER001752,45856,10
REQ000123,USER004691,40843,7
REQ000124,USER004650,9825,7
REQ000125,USER000639,67965,7
REQ000126,USER003403,14190,4
REQ000127,USER003383,33416,1
REQ000128,USER002251,66360,5
REQ000129,USER003770,46842,1
REQ000130,USER004504,9550,5
REQ000131,USER004430,46966,1
REQ000132,USER001498,70044,2
REQ000133,USER003920,49814,6
REQ000134,USER001553,65251,8
REQ000135,USER003668,75332,9
REQ000136,USER003904,27473,2
REQ000137,USER002593,60828,5
REQ000138,USER003113,48850,5
REQ000139,USER002561,54073,4
REQ000140,USER003933,1826,4
REQ000141,USER004894,83071,4
REQ000142,USER000094,62111,2
REQ000143,USER003995,32163,3
REQ000144,USER000088,46093,5
