request_id,user_id,timestamp,priority
REQ000001,USER081670,66681,9
REQ000002,USER008443,78098,10
REQ000003,USER031920,31489,5
REQ000004,USER006752,27342,2
REQ000005,USER078283,16550,3
REQ000006,USER065571,44023,3
REQ000007,USER095114,47907,8
REQ000008,USER095568,78699,2
REQ000009,USER075118,11212,6
REQ000010,USER010822,1447,4
REQ000011,USER093752,10597,4
REQ000012,USER074609,56418,4
REQ000013,USER006433,70507,2
REQ000014,USER039787,4241,9
REQ000015,USER018556,81344,2
REQ000016,USER017991,6156,5
REQ000017,USER057681,24525,3
REQ000018,USER071769,3268,3
REQ000019,USER085053,35888,7
REQ000020,USER012182,80286,3
REQ000021,USER018774,12486,6
REQ000022,USER078000,80936,8
REQ000023,USER003028,37112,8
REQ000024,USER028098,43025,3
REQ000025,USER068060,49703,2
REQ000026,USER006565,14608,6
REQ000027,USER095946,8421,5
REQ000028,USER077228,64975,8
REQ000029,USER096139,18809,10
REQ000030,USER002886,16660,6
REQ000031,USER017835,84297,10
REQ000032,USER030541,85658,1
REQ000033,USER051786,71998,1
REQ000034,USER058517,32529,7
REQ000035,USER040722,22352,5
REQ000036,USER087536,15831,6
REQ000037,USER085748,24369,3
REQ000038,USER000026,41994,8
REQ000039,USER058273,7225,6
REQ000040,USER082213,10105,1
REQ000041,USER018677,60223,7
REQ000042,USER048097,11102,1
REQ000043,USER070879,15336,8
REQ000044,USER075251,16628,1
REQ000045,USER078334,17719,2
REQ000046,USER045872,72841,3
REQ000047,USER054221,26335,1
REQ000048,USER064292,26045,5
REQ000049,USER078259,7983,9
REQ000050,USER058169,49488,5
REQ000051,USER082330,32917,5
REQ000052,USER062639,29881,8
REQ000053,USER038509,67077,8
REQ000054,USER017284,17890,9
REQ000055,USER002421,83869,4
REQ000056,USER043954,48302,10
REQ000057,USER050861,18332,10
REQ000058,USER071064,61965,9
REQ000059,USER020309,17152,10
REQ000060,USER022369,45,7
REQ000061,USER009878,6249,5
REQ000062,USER014738,80238,8
REQ000063,USER037873,35110,9
REQ000064,USER030365,70712,10
REQ000065,USER014544,5376,1
REQ000066,USER098146,81261,1
REQ000067,USER097941,25850,1
REQ000068,USER070891,2953,8
REQ000069,USER048580,3832,9
