request_id,user_id,timestamp,priority
REQ000001,USER000482,52861,7
REQ000002,USER001000,50360,3
REQ000003,USER000335,25672,8
REQ000004,USER000733,45416,9
REQ000005,USER000850,63973,3
REQ000006,USER000474,36177,4
REQ000007,USER000040,66920,7
REQ000008,USER000054,64116,7
REQ000009,USER000834,46131,10
REQ000010,USER000100,4537,8
REQ000011,USER000460,36842,3
REQ000012,USER000242,85257,5
REQ000013,USER000207,27788,3
REQ000014,USER000862,14332,10
REQ000015,USER000499,37764,3
REQ000016,USER000884,68582,1
REQ000017,USER000805,73529,9
REQ000018,USER000159,17887,6
REQ000019,USER000845,56789,10
REQ000020,USER000278,64933,8
REQ000021,USER000130,55107,6
REQ000022,USER000667,30068,2
REQ000023,USER000578,15061,8
REQ000024,USER000732,33309,4
REQ000025,USER000487,24895,8
REQ000026,USER000790,75587,4
REQ000027,USER000653,68587,7
REQ000028,USER000896,37492,5
REQ000029,USER000139,10709,1
REQ000030,USER000901,55754,7
REQ000031,USER000540,67773,3
REQ000032,USER000261,52135,3
REQ000033,USER000526,26565,2
REQ000034,USER000433,54778,9
REQ000035,USER000159,28011,3
REQ000036,USER000730,39160,1
REQ000037,USER000978,57575,7
REQ000038,USER000425,17524,6
REQ000039,USER000105,5565,10
REQ000040,USER000163,24341,6
REQ000041,USER000979,49838,4
REQ000042,USER000079,74002,4
REQ000043,USER000223,65767,2
REQ000044,USER000904,53853,6
REQ000045,USER000469,20071,3
REQ000046,USER000407,43429,5
REQ000047,USER000023,35118,2
REQ000048,USER000617,997,4
REQ000049,USER000850,15569,7
REQ000050,USER000898,59210,1
REQ000051,USER000948,78225,4
REQ000052,USER000895,66952,6
REQ000053,USER000092,68961,1
REQ000054,USER000229,3062,1
REQ000055,USER000431,7184,1
REQ000056,USER000370,24801,1
REQ000057,USER000904,22922,3
REQ000058,USER000757,12436,6
REQ000059,USER000445,59434,4
REQ000060,USER000381,26811,5
REQ000061,USER000340,29460,5
REQ000062,USER000114,22075,8
REQ000063,USER000988,36558,8
REQ000064,USER000939,19302,1
REQ000065,USER000651,65545,7
REQ000066,USER000577,10990,8
REQ000067,USER000531,59278,5
REQ000068,USER000454,64182,4
REQ000069,USER000088,37961,7
REQ000070,USER000767,46000,9
REQ000071,USER000950,44306,7
REQ000072,USER000299,32197,1
REQ000073,USER000084,25774,1
REQ000074,USER000422,38569,1
REQ000075,USER000872,3543,5
REQ000076,USER000050,41753,6
REQ000077,USER000928,56761,8
