request_id,user_id,timestamp,priority
REQ000001,USER011023,9080,9
REQ000002,USER023665,38306,4
REQ000003,USER017668,44102,1
REQ000004,USER038895,57053,3
REQ000005,USER038434,47415,3
REQ000006,USER030983,44745,5
REQ000007,USER007553,13594,6
REQ000008,USER045443,48344,9
REQ000009,USER049977,72892,2
REQ000010,USER042847,19040,7
REQ000011,USER008980,31937,6
REQ000012,USER025856,79848,6
REQ000013,USER023372,31940,4
REQ000014,USER004592,31675,5
REQ000015,USER023289,22505,10
REQ000016,USER043789,25496,8
REQ000017,USER001014,74910,9
REQ000018,USER033747,5840,6
REQ000019,USER047819,70567,3
REQ000020,USER038836,22684,4
REQ000021,USER030186,17137,5
REQ000022,USER048050,25199,1
REQ000023,USER038386,57806,9
REQ000024,USER018558,7160,6
REQ000025,USER012070,12964,6
REQ000026,USER025175,67101,2
REQ000027,USER025868,8958,6
REQ000028,USER009422,80728,5
REQ000029,USER028519,82832,10
REQ000030,USER029775,3868,2
REQ000031,USER013776,71456,5
REQ000032,USER017630,46513,2
REQ000033,USER006902,3938,1
REQ000034,USER009817,29118,8
REQ000035,USER021194,6123,6
REQ000036,USER020011,80988,8
REQ000037,USER018321,37892,8
REQ000038,USER023801,35122,7
REQ000039,USER015014,86088,4
REQ000040,USER017336,60680,5
REQ000041,USER024275,68892,3
REQ000042,USER035585,59873,10
REQ000043,USER006678,61711,9
REQ000044,USER021658,28153,6
REQ000045,USER043495,13659,5
REQ000046,USER003848,37946,2
REQ000047,USER019895,31321,6
REQ000048,USER047735,61183,7
REQ000049,USER008203,29461,2
REQ000050,USER021748,34003,9
REQ000051,USER017471,29009,8
REQ000052,USER045485,52258,10
REQ000053,USER012862,42116,5
REQ000054,USER010863,63728,2
REQ000055,USER022342,7312,8
REQ000056,USER025686,10059,7
REQ000057,USER005669,30560,7
REQ000058,USER049177,29156,3
REQ000059,USER019415,32948,4
REQ000060,USER040534,74686,6
REQ000061,USER030610,47482,6
REQ000062,USER024788,73574,10
REQ000063,USER016592,75481,3
REQ000064,USER005450,78927,2
REQ000065,USER044316,17828,7
REQ000066,USER016215,44026,1
REQ000067,USER028967,50639,9
REQ000068,USER024457,51414,7
REQ000069,USER010441,2290,3
REQ000070,USER026620,11503,1
REQ000071,USER019636,40328,4
REQ000072,USER006423,58860,10
REQ000073,USER003908,72958,4
REQ000074,USER007850,47026,6
REQ000075,USER021079,15785,10
REQ000076,USER035038,29082,6
REQ000077,USER041560,50780,4
REQ000078,USER044347,83288,3
REQ000079,USER028581,37393,1
REQ000080,USER003401,79472,10
REQ000081,USER037259,78497,3
REQ000082,USER014229,73977,1
REQ000083,USER031831,70228,5
REQ000084,USER039482,16866,3
REQ000085,USER043138,13067,2
REQ000086,USER009961,79914,9
REQ000087,USER017473,9480,7
REQ000088,USER028775,28925,10
REQ000089,USER033699,44157,7
REQ000090,USER039753,25398,8
REQ000091,USER028852,29834,10
REQ000092,USER010954,69184,2
REQ000093,USER028421,16121,5
REQ000094,USER021311,42919,3
REQ000095,USER014744,28768,5
REQ000096,USER032391,33825,3
REQ000097,USER033791,61082,6
REQ000098,USER018230,1090,1
REQ000099,USER006993,28188,1
REQ000100,USER001191,62860,9
REQ000101,USER004284,35674,4
REQ000102,USER017010,30551,10
REQ000103,USER016027,28464,1
REQ000104,USER034846,63265,2
REQ000105,USER009898,60207,5
REQ000106,USER043207,55630,8
REQ000107,USER019507,42280,1
REQ000108,USER028632,63493,7
REQ000109,USER035205,62422,4
REQ000110,USER002415,78915,1
REQ000111,USER021601,81459,2
REQ000112,USER042914,34621,9
REQ000113,USER024984,18922,7
REQ000114,USER044238,47619,7
REQ000115,USER024482,44940,9
REQ000116,USER034756,12584,8
REQ000117,USER036388,28007,1
REQ000118,USER021117,66893,6
REQ000119,USER011920,29530,7
REQ000120,USER023136,56444,4
REQ000121,USER012615,25483,8
REQ000122,USER023439,58166,2
REQ000123,USER009400,65566,3
REQ000124,USER031088,18103,7
REQ000125,USER038482,71345,9
REQ000126,USER007740,71029,8
REQ000127,USER045570,80510,1
REQ000128,USER041619,58662,2
REQ000129,USER036225,7637,6
REQ000130,USER022461,33372,3
REQ000131,USER021497,33282,4
REQ000132,USER014561,69354,5
REQ000133,USER018581,58659,3
REQ000134,USER015459,64114,8
REQ000135,USER023755,34799,8
REQ000136,USER019558,24621,10
REQ000137,USER042018,15769,8
REQ000138,USER043704,54613,6
REQ000139,USER026815,74191,6
REQ000140,USER024574,51500,8
REQ000141,USER013817,75734,7
REQ000142,USER033804,23250,7
REQ000143,USER004475,23142,9
REQ000144,USER039303,15724,5
REQ000145,USER041847,31779,1
REQ000146,USER029664,19279,6
REQ000147,USER037859,83770,9
REQ000148,USER049614,611,4
REQ000149,USER020528,1095,1
REQ000150,USER036992,28022,1
REQ000151,USER012304,76003,1
REQ000152,USER024038,10269,4
REQ000153,USER018130,11945,7
REQ000154,USER027949,54260,2
REQ000155,USER004637,39590,7
REQ000156,USER025688,4720,10
